image,gallimg,small_image,thumbnail,typecsvname,store,websites,attribute_set,type,category_ids,sku,options_container,has_options,name,url_key,meta_title,meta_description,url_path,price,special_price,weight,meta_keyword,description,short_description,special_from_date,news_from_date,news_to_date,status,visibility,tax_class_id,qty,is_in_stock,store_id,Size:drop_down:20:1,Color:drop_down:10:1
B072KK61RW_81G2V5m6OjL_UL1500_.jpg,B072KK61RW_81G2V5m6OjL_UL1500_.jpg;B072KK61RW_81GdR8BGyNL_UL1500_.jpg;B072KK61RW_81zISIP4YxL_UL1500_.jpg,B072KK61RW_81G2V5m6OjL_UL1500_.jpg,B072KK61RW_81G2V5m6OjL_UL1500_.jpg,Tops,admin,base,Tops,simple,2,B072KK61RW,"Product Info Column",0,"ECOWISH Womens Floral Printed V-Neck Long Sleeves Geometric Pattern Blouses Casual Tops",,"ECOWISH Womens Floral Printed V-Neck Long Sleeves Geometric Pattern Blouses Casual Tops",,,Â£10.99,,1000,,,"Please Choose Your Normal Size or Check The Size Chart! Any Questions, Please Contact Us Directly! Occasion: Casual, Beach, Work, Vacation, Daily Life. Material: 85% Polyester; 15% Cotton EH516 Feature: Floral Printed; V-Neck; Long Sleeves; Geometric Pattern; Casual Blouses. Size: UK S ; UK M ; UK L ; UK XL ; UK XXL .",,"2017-10-30 15:46:13",,Enabled,"Catalog, Search",None,59,1,0,S:fixed:0.00:17||M:fixed:0.00:18||L:fixed:0.00:19||XL:fixed:0.00:20||2XL:fixed:0.00:21,Red:fixed:0.00:17||Blue:fixed:0.00:18
B01FFA8SL2_513oCSzHNeL_UL1500_.jpg,B01FFA8SL2_513oCSzHNeL_UL1500_.jpg;B01FFA8SL2_51XDpXQwyTL_UL1500_.jpg;B01FFA8SL2_613mi-8WYXL_UL1500_.jpg;B01FFA8SL2_61jTLJV4EuL_UL1500_.jpg,B01FFA8SL2_513oCSzHNeL_UL1500_.jpg,B01FFA8SL2_513oCSzHNeL_UL1500_.jpg,Tops,admin,base,Tops,simple,2,B01FFA8SL2,"Product Info Column",0,"Yidarton Womens Tops Chiffon Long Sleeve Shirts Casual Blouse",,"Yidarton Womens Tops Chiffon Long Sleeve Shirts Casual Blouse",,,,,1000,,,"S is for UK 8,M is for UK 10,L is for UK 12,XL is for UK 14,XXL is for UK 16,more details please check the size chart in the photo gallery left Classic and elegant v neckline,to show off your charming curves and grace 100% Chiffon,lightweight and soft,hand wash recommeded. Buttons at the back with stretch elastic to do up the buttons and gives a fitted look Lovely design---The front has a double layer and the back is single layer Suitable for work,casual or vacation,also for some formal occasions.",,"2017-10-30 15:46:12",,Enabled,"Catalog, Search",None,59,1,0,S:fixed:0.00:17||M:fixed:0.00:18||L:fixed:0.00:19||XL:fixed:0.00:20||2XL:fixed:0.00:21
